"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","26WIMPI-S18SCMR8","SIMERI CRICHI","N/A","885","018079133","380","23.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","26WIMPI-S18SCNDX","CENTRALE DI SCANDALE","N/A","821","018101024","380","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","26WIMPI-S18EADS0","ALTOMONTE","N/A","808","018078045","380","23.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","26WIMPI-S18RCZZW","RIZZICONI","N/A","760","018080065","380","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPIORTICA-13","TIMPAGRANDE","N/A","395","018101009","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Gas","26WIMPI-S18RTSN9","ROSSANO TE","N/A","224","018078157","380","17.11.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPIMUCONE-19","MUCONE 1S","N/A","169","018078003","150","20.12.2021",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-01161911","FOSSA DEL LUPO","N/A","98","018079089","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18PELCB","PE LE CANNELLA","N/A","96","018101013","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18SSNSD","SAN SOSTENE","N/A","80","018079116","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPISIMERI-15","MAGISANO","N/A","75","018079068","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-04586651","S.ANNA_012","N/A","64","018101013","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-01513370","PEPIZZA","N/A","60","018079069","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMYI-0158381B","MAIDA CORTALE","N/A","56","018079069","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18PESP1","PARCO EOLICO SERRA PELATA","N/A","54","018079065","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18MSLSC","MELISSA","N/A","50","018101025","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Biomass","26WIMPI-S18BSMSR","STRONGOLI","N/A","48","018101025","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0222863M","Impianto eolico di Cutro - localitá Rosito","N/A","46","018101012","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPI-S18P2LZD","PALAZZO 2","N/A","46","018078088","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18PEPR6","PITAGORA","N/A","46","018101013","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18PEMAC","PARCO EOLICO MARCO AURELIO SEVERINO","N/A","44","018078146","220","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18PEPDY","PARCO EOLICO PIANO DI CORDA","N/A","44","018079065","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Biomass","26WIMPI-S18MRCR8","MERCURE","N/A","36","018078063","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-04539858","Parco eolico Andali","N/A","36","018079005","150","24.06.2019",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0034938F","PARCO EOLICO CAMAS DI MAIDA","N/A","34","018079069","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPI-S18S2TRR","SATRIANO 2S","N/A","34","018079123","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0544016K","Piano San Biagio","N/A","30","018101010","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Biomass","26WIMPI-S18CRTNF","CROTONE 2","N/A","28","018101010","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0446302G","Bagaladi","N/A","28","018080053","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18GRFCM","GIRIFALCO-PEG","N/A","28","018079059","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18PESFL","P.E. SAN FRANCESCO","N/A","26","018101014","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-00419230","CROCIMINUTI-MALUCUTRAZZO-IRTO SCURO","N/A","26","018101007","150","23.12.2017",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Solar","26WIMPI-0225833G","Impianto fotovoltaico ¿San Floro Girifalco¿","N/A","24","018079108","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPI-S18S1TRV","SATRIANO 1S","N/A","24","018079123","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0685617W","Simeri Crichi eolico","N/A","23","018079133","150","21.04.2017",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0083559Z","AMARONI","N/A","23","018079003","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-07735356","Parco Eolico San Demetrio","N/A","21","018078114","150","25.01.2021",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0410150O","Impianto Eolico Sambuco","N/A","20","018079034","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18SFC22","SAN FLORO - CARAFFA 2","N/A","18","018079072","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Waste","26WIMPI-S18TECTL","TERMOVALORIZZATORE CDR","N/A","17","018080038","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0600448S","ARIA DAL VENTO","N/A","16","018078080","150","25.03.2020",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Biomass","26WIMPI-S18ETAEZ","ETA SPA","N/A","15","018101012","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Biomass","26WIMPI-S18RENDU","RENDE ECOSESTO","N/A","14","018078102","20","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Solar","26WIMPI-0693963H","GIRIFALCO","N/A","14","018079059","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S18MRCLK","MARCELLINARA","N/A","13","018079072","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPI-S18C1SCX","COSCILE 1S","N/A","11","018078111","20","31.12.2014",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0302023Y","S. Domenica","N/A","11","018101024","150","09.10.2015",""
"BZN|IT-Calabria / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0602383K","Parco Eolico Torre di Ruggiero","N/A","10","018079148","20","13.02.2015",""
