"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S03TRBGZ","TURBIGO","800","1638","003015146","380","17.11.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S08LCCS4","LA CASELLA C.LE","1476","1476","008033013","380","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S03TVZZK","TAVAZZANO","1411","1411","003098040","380","17.11.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S03SRMDD","SERMIDE","1151","1151","003020061","380","23.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S03OSTG2","OSTIGLIA","1124","1124","003020038","380","23.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S01CHVSE","CHIVASSO","1123","1123","001001082","380","23.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Pumped Storage","26WIMPI-S01ENTRP","ENTRACQUE_CHRO","1064","1064","001004084","380","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S03FERRD","ENIPOWER FERRERA ERBOGNONE","1006","1006","003018062","380","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Pumped Storage","26WIMPI-S03RNCVS","RONCOVALGRANDE","1000","1000","003012142","380","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S08ERNPQ","ENIPOWER RAVENNA","961","961","008039014","380","17.11.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Pumped Storage","26WIMPI-S03EDLO9","EDOLO","950","950","003017068","380","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S05PMAR7","LEVANTE","516","913","005027042","220","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S06TRVC2","TORVISCOSA","867","867","006030123","380","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S03EMC43","ENIPOWER MANTOVA","813","827","003020030","380","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S08PLCNW","PIACENZA","806","806","008033032","380","23.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S03CDTL1","CENTRALE DI TURANO LODIGIANO - BERTONICO (LO)","800","800","003098057","380","23.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S01ECLF6","E.ON C.TE LIVORNO FERRARIS","776","776","001002071","380","31.12.2014",""
"BZN|IT-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S08EFNP0","S.E.F. SRL","762","762","008038008","380","31.12.2014",""
