bzn;bidding_zone_extended_name;start;end;start_year
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2020-01-01;2021-01-01;2020
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
BZN;IT-Calabria;2022-01-01;2023-01-01;2022
